Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
I Know a Secret: A Rizzoli & Isles Novel,$13.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Tess Gerritsen,336,Ballantine Books,English,10.00 x 7.00 x 1.00 Inches,5
BEST KEPT SECRETS,$7.99 ,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 3817 >  > in > Books > # > 292 >  > in > Books > Literature & Fiction > # > 39 >  > in > Books > Literature & Fiction > Mystery & Suspense,Sandra Brown,448,Grand Central Publishing,English,6.75 x 4.25 x 1.25 Inches (US),
"Zombie, Illinois",$16.30 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Kenemore, Scott",381,Two Rivers Distribution,English,8.25 x 5.50 x 1.25 Inches,
SHARP OBJECTS,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 1075 >  > in > Books > # > 67 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Mystery & Suspense","FLYNN, GILLIAN",272,Random House Inc,English,8.25 x 5.25 x 0.75 Inches,4.6667
The Dark Tower I : The Gunslinger,$14.92 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Dark Fantasy > Best seller ranking: > # > 12950 >  > in > Books > # > 643 >  > in > Books > ARCHIVE > # > 62 >  > in > Books > ARCHIVE > Literature & Fiction,Stephen King,288,Scribner,,8.38 x 139.70 x 17.78 Inches (US),5
HOPE TO DIE,$10.62 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 1660 >  > in > Books > # > 113 >  > in > Books > Literature & Fiction > # > 22 >  > in > Books > Literature & Fiction > General",James Patterson,416,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),4
Bed of Roses,$7.58 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Roberts, Nora",481,Christian Large Print,English,9.00 x 6.00 x 0.75 Inches,
Test of the Twins,$7.81 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, MargaretHickman, Tracy",330,Wizards of the Coast,English,7.00 x 4.25 x 1.25 Inches,
The Cat Sitter and the Canary,$15.07 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",John ClementBlaize Clement,304,St. Martin's PressMinotaur Books,English,213.61 x 5.76 x 26.29 Millimeters,
Off the Grid,$8.49 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",C. J. Box,400,Penguin Publishing GroupG.P. Putnam's Sons,English,7.56 x 4.25 x 1.00 Inches (US),
Death Is a Lonely Business,$11.34 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Bradbury, Ray",240,HarperCollins,English,8.50 x 5.25 x 0.75 Inches,
HEARTBREAK HOTEL: AN ALEX DELAWARE NOVEL,$9.40 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","KELLERMAN, JONATHAN",416,Random House,English,7.60 x 4.20 x 1.00 Inches (US),
Great Expectations,$5.41 ,Books > Literature & Fiction > Fiction > Classics,Charles Dickens,528,SignetPenguin Publishing Group,English,,
Shadow Prey,$8.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime > Best seller ranking: > # > 9716 >  > in > Books > # > 893 >  > in > Books > Literature & Fiction > # > 126 >  > in > Books > Literature & Fiction > Mystery & Suspense",John Sandford,480,Penguin Publishing GroupG.P. Putnam's Sons,English,7.50 x 4.13 x 1.00 Inches (US),
RUSHING WATERS: A NOVEL,$8.76 ,Books > Literature & Fiction > Fiction > Contemporary Women,"STEEL, DANIELLE",384,Random House,English,7.50 x 4.75 x 1.00 Inches,
Doctor Who,$20.16 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Ness, PatrickSedgwick, MarcusScott, MichaelColfer, EoinReeve, Philip",592,Diamond Comic Distributors,English,6.50 x 4.75 x 3.50 Inches,
Dreamfever,$7.19 ,Books > Literature & Fiction > Fiction > Romance > General > Best seller ranking: > # > 18684 >  > in > Books > # > 521 >  > in > Books > Romance > # > 97 >  > in > Books > Romance > General,"Moning, Karen Marie",498,Random House,English,7.25 x 4.25 x 1.25 Inches,4.6
The Sword of Shannara,$9.43 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",726,Random House,English,7.00 x 4.50 x 1.75 Inches,5
Gameboard of the Gods : Age of X,$7.95 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Richelle Mead,496,BerkleyPenguin Publishing Group,English,6.77 x 4.14 x 1.38 Inches (US),
Foundation's Edge,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Asimov, Isaac",480,Random House,English,6.75 x 4.00 x 1.00 Inches,
An Echo of Things to Come,$19.89 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,James Islington,752,Orbit,English,9.50 x 6.50 x 2.25 Inches (US),
"GUILTY, THE",$8.52 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",David Baldacci,576,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),
The Copper Scroll,$13.37 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Political",Joel C. Rosenberg,384,"Tyndale House Publishers, Inc.",English,8.10 x 5.40 x 1.00 Inches (US),
The Wife Between Us,$21.28 ,Books > Women's History Month Books > Women's History Month Fiction,Sarah PekkanenGreer Hendricks,352,St. Martin's Press,English,9.25 x 155.57 x 33.27 Inches (US),5
Shadow Reaper,$5.39 ,Books > Literature & Fiction > Fiction > Romance > Paranormal,Christine Feehan,400,BerkleyPenguin Publishing Group,English,6.75 x 4.20 x 1.07 Inches (US),
